 Total Nb of available Diagnostics: ndiagt=   329
------------------------------------------------------------------------------------
  Num  |<-Name->|Levs|  mate |<- code ->|<--  Units   -->|<- Tile (max=80c)         
   263 |SIheff  |  1 |       |SM      M1|m               |SEAICE effective ice thickness
   264 |SIheffPT|  1 |       |SM      M1|m               |SIheff preceeeding thermodynamic growth/melt
   265 |SIhsnow |  1 |       |SM      M1|m               |SEAICE effective snow thickness
   266 |SIhsnoPT|  1 |       |SM      M1|m               |SIhsnow preceeeding thermodynamic growth/melt
   267 |SIhsalt |  1 |       |SM      M1|g/m^2           |SEAICE effective salinity
   268 |SItices |  1 |   260 |SM  C   M1|K               |Surface Temperature over Sea-Ice (area weighted)
   269 |SIuice  |  1 |   270 |UU      M1|m/s             |SEAICE zonal ice velocity, >0 from West to East
   270 |SIvice  |  1 |   269 |VV      M1|m/s             |SEAICE merid. ice velocity, >0 from South to North
   271 |SItaux  |  1 |   272 |UU      U1|N/m^2           |SEAICE zonal surface wind stress, >0 increases uIce
   272 |SItauy  |  1 |   271 |VV      U1|N/m^2           |SEAICE merid surface wind stress, >0 increases vIce
   273 |SIatmTx |  1 |   274 |UU      U1|N/m^2           |Zonal surface wind stress over Ocean+SeaIce
   274 |SIatmTy |  1 |   273 |VV      U1|N/m^2           |Merid surface wind stress over Ocean+SeaIce
   275 |SIqnet  |  1 |       |SM      U1|W/m^2           |Ocean surface heatflux, turb+rad, >0 decreases theta
   276 |SIqsw   |  1 |       |SM      U1|W/m^2           |Ocean surface shortwave radiat., >0 decreases theta
   277 |SIatmQnt|  1 |       |SM      U1|W/m^2           |Net atmospheric heat flux, >0 decreases theta
   278 |SItflux |  1 |       |SM      U1|W/m^2           |Same as TFLUX but incl seaice (>0 incr T decr H)
   279 |SIaaflux|  1 |       |SM      U1|W/m^2           |conservative ocn<->seaice adv. heat flux adjust.
   280 |SIhl    |  1 |       |SM      U1|W/m^2           |Latent heat flux into ocean, >0 increases theta
   281 |SIqneto |  1 |       |SM      U1|W/m^2           |Open Ocean Part of SIqnet, turb+rad, >0 decr theta
   282 |SIqneti |  1 |       |SM      U1|W/m^2           |Ice Covered Part of SIqnet, turb+rad, >0 decr theta
   283 |SIempmr |  1 |       |SM      U1|kg/m^2/s        |Ocean surface freshwater flux, > 0 increases salt
   284 |SIatmFW |  1 |       |SM      U1|kg/m^2/s        |Net freshwater flux from atmosphere & land (+=down)
   285 |SIsnPrcp|  1 |       |SM      U1|kg/m^2/s        |Snow precip. (+=dw) over Sea-Ice (area weighted)
   286 |SIfwSubl|  1 |       |SM      U1|kg/m^2/s        |Potential sublimation freshwater flux, >0 decr. ice
   287 |SIacSubl|  1 |       |SM      U1|kg/m^2/s        |Actual sublimation freshwater flux, >0 decr. ice
   288 |SIrsSubl|  1 |       |SM      U1|kg/m^2/s        |Residual subl. freshwater flux, >0 taken from ocn
   289 |SIactLHF|  1 |       |SM      U1|W/m^2           |Actual latent heat flux over ice
   290 |SImaxLHF|  1 |       |SM      U1|W/m^2           |Maximum latent heat flux over ice
   291 |SIaQbOCN|  1 |       |SM      M1|m/s             |Potential HEFF rate of change by ocean ice flux
   292 |SIaQbATC|  1 |       |SM      M1|m/s             |Potential HEFF rate of change by atm flux over ice
   293 |SIaQbATO|  1 |       |SM      M1|m/s             |Potential HEFF rate of change by open ocn atm flux
   294 |SIdHbOCN|  1 |       |SM      M1|m/s             |HEFF rate of change by ocean ice flux
   295 |SIdSbATC|  1 |       |SM      M1|m/s             |HSNOW rate of change by atm flux over sea ice
   296 |SIdSbOCN|  1 |       |SM      M1|m/s             |HSNOW rate of change by ocean ice flux
   297 |SIdHbATC|  1 |       |SM      M1|m/s             |HEFF rate of change by atm flux over sea ice
   298 |SIdHbATO|  1 |       |SM      M1|m/s             |HEFF rate of change by open ocn atm flux
   299 |SIdHbFLO|  1 |       |SM      M1|m/s             |HEFF rate of change by flooding snow
------------------------------------------------------------------------------------
  Num  |<-Name->|Levs|  mate |<- code ->|<--  Units   -->|<- Tile (max=80c)         
------------------------------------------------------------------------------------
   300 |SIdAbATO|  1 |       |SM      M1|m^2/m^2/s       |Potential AREA rate of change by open ocn atm flux
   301 |SIdAbATC|  1 |       |SM      M1|m^2/m^2/s       |Potential AREA rate of change by atm flux over ice
   302 |SIdAbOCN|  1 |       |SM      M1|m^2/m^2/s       |Potential AREA rate of change by ocean ice flux
   303 |SIdA    |  1 |       |SM      M1|m^2/m^2/s       |AREA rate of change (net)
   304 |ADVxHEFF|  1 |   305 |UU      M1|m.m^2/s         |Zonal      Advective Flux of eff ice thickn
   305 |ADVyHEFF|  1 |   304 |VV      M1|m.m^2/s         |Meridional Advective Flux of eff ice thickn
   306 |DFxEHEFF|  1 |   307 |UU      M1|m.m^2/s         |Zonal      Diffusive Flux of eff ice thickn
   307 |DFyEHEFF|  1 |   306 |VV      M1|m.m^2/s         |Meridional Diffusive Flux of eff ice thickn
   308 |ADVxAREA|  1 |   309 |UU      M1|m^2/m^2.m^2/s   |Zonal      Advective Flux of fract area
   309 |ADVyAREA|  1 |   308 |VV      M1|m^2/m^2.m^2/s   |Meridional Advective Flux of fract area
   310 |DFxEAREA|  1 |   311 |UU      M1|m^2/m^2.m^2/s   |Zonal      Diffusive Flux of fract area
   311 |DFyEAREA|  1 |   310 |VV      M1|m^2/m^2.m^2/s   |Meridional Diffusive Flux of fract area
   312 |ADVxSNOW|  1 |   313 |UU      M1|m.m^2/s         |Zonal      Advective Flux of eff snow thickn
   313 |ADVySNOW|  1 |   312 |VV      M1|m.m^2/s         |Meridional Advective Flux of eff snow thickn
   314 |DFxESNOW|  1 |   315 |UU      M1|m.m^2/s         |Zonal      Diffusive Flux of eff snow thickn
   315 |DFyESNOW|  1 |   314 |VV      M1|m.m^2/s         |Meridional Diffusive Flux of eff snow thickn
   316 |ADVxSSLT|  1 |   317 |UU      M1|psu.m^2/s       |Zonal      Advective Flux of seaice salinity
   317 |ADVySSLT|  1 |   316 |VV      M1|psu.m^2/s       |Meridional Advective Flux of seaice salinity
   318 |DFxESSLT|  1 |   319 |UU      M1|psu.m^2/s       |Zonal      Diffusive Flux of seaice salinity
   319 |DFyESSLT|  1 |   318 |VV      M1|psu.m^2/s       |Meridional Diffusive Flux of seaice salinity
   320 |SIuheff |  1 |   321 |UU      M1|m^2/s           |Zonal      Transport of eff ice thickn (centered)
   321 |SIvheff |  1 |   320 |VV      M1|m^2/s           |Meridional Transport of eff ice thickn (centered)
   322 |SIpress |  1 |       |SM      M1|N/m             |SEAICE strength (with upper and lower limit)
   323 |SIzeta  |  1 |       |SM      M1|kg/s            |SEAICE nonlinear bulk viscosity
   324 |SIeta   |  1 |       |SM      M1|kg/s            |SEAICE nonlinear shear viscosity
   325 |SIsig1  |  1 |       |SM      M1|no units        |SEAICE normalized principle stress, component one
   326 |SIsig2  |  1 |       |SM      M1|no units        |SEAICE normalized principle stress, component two
   327 |SIshear |  1 |       |SM      M1|1/s             |SEAICE shear deformation rate
   328 |SIdelta |  1 |       |SM      M1|1/s             |SEAICE Delta deformation rate
   329 |SItensil|  1 |       |SM      M1|N/m             |SEAICE maximal tensile strength
------------------------------------------------------------------------------------
  Num  |<-Name->|Levs|  mate |<- code ->|<--  Units   -->|<- Tile (max=80c)         
------------------------------------------------------------------------------------
