 Total Nb of available Diagnostics: ndiagt=   341
------------------------------------------------------------------------------------
  Num  |<-Name->|Levs|  mate |<- code ->|<--  Units   -->|<- Tile (max=80c)         
------------------------------------------------------------------------------------
  Num  |<-Name->|Levs|  mate |<- code ->|<--  Units   -->|<- Tile (max=80c)         
------------------------------------------------------------------------------------
   100 |TOTSTEND|115 |       |SMR     MR|psu/day         |Tendency of Salinity
   101 |MoistCor|115 |       |SM      MR|W/m^2           |Heating correction due to moist thermodynamics
   102 |gT_Forc |115 |       |SMR     MR|degC/s          |Potential Temp. forcing tendency
   103 |gS_Forc |115 |       |SMR     MR|psu/s           |Salinity forcing tendency
   104 |AB_gT   |115 |       |SMR     MR|degC/s          |Potential Temp. tendency from Adams-Bashforth
   105 |AB_gS   |115 |       |SMR     MR|psu/s           |Salinity tendency from Adams-Bashforth
   106 |gTinAB  |115 |       |SMR     MR|degC/s          |Potential Temp. tendency going in Adams-Bashforth
   107 |gSinAB  |115 |       |SMR     MR|psu/s           |Salinity tendency going in Adams-Bashforth
   108 |AB_gU   |115 |   109 |UUR     MR|m/s^2           |U momentum tendency from Adams-Bashforth
   109 |AB_gV   |115 |   108 |VVR     MR|m/s^2           |V momentum tendency from Adams-Bashforth
   110 |ADVr_TH |115 |       |WM      LR|degC.m^3/s      |Vertical   Advective Flux of Pot.Temperature
   111 |ADVx_TH |115 |   112 |UU      MR|degC.m^3/s      |Zonal      Advective Flux of Pot.Temperature
   112 |ADVy_TH |115 |   111 |VV      MR|degC.m^3/s      |Meridional Advective Flux of Pot.Temperature
   113 |DFrE_TH |115 |       |WM      LR|degC.m^3/s      |Vertical Diffusive Flux of Pot.Temperature (Explicit part)
   114 |DFxE_TH |115 |   115 |UU      MR|degC.m^3/s      |Zonal      Diffusive Flux of Pot.Temperature
   115 |DFyE_TH |115 |   114 |VV      MR|degC.m^3/s      |Meridional Diffusive Flux of Pot.Temperature
   116 |DFrI_TH |115 |       |WM      LR|degC.m^3/s      |Vertical Diffusive Flux of Pot.Temperature (Implicit part)
   117 |ADVr_SLT|115 |       |WM      LR|psu.m^3/s       |Vertical   Advective Flux of Salinity
   118 |ADVx_SLT|115 |   119 |UU      MR|psu.m^3/s       |Zonal      Advective Flux of Salinity
   119 |ADVy_SLT|115 |   118 |VV      MR|psu.m^3/s       |Meridional Advective Flux of Salinity
   120 |DFrE_SLT|115 |       |WM      LR|psu.m^3/s       |Vertical Diffusive Flux of Salinity    (Explicit part)
   121 |DFxE_SLT|115 |   122 |UU      MR|psu.m^3/s       |Zonal      Diffusive Flux of Salinity
   122 |DFyE_SLT|115 |   121 |VV      MR|psu.m^3/s       |Meridional Diffusive Flux of Salinity
   123 |DFrI_SLT|115 |       |WM      LR|psu.m^3/s       |Vertical Diffusive Flux of Salinity    (Implicit part)
   124 |SALTFILL|115 |       |SM      MR|psu.m^3/s       |Filling of Negative Values of Salinity
   125 |VISCAHZ |115 |       |SZ      MR|m^2/s           |Harmonic Visc Coefficient (m2/s) (Zeta Pt)
   126 |VISCA4Z |115 |       |SZ      MR|m^4/s           |Biharmonic Visc Coefficient (m4/s) (Zeta Pt)
   127 |VISCAHD |115 |       |SM      MR|m^2/s           |Harmonic Viscosity Coefficient (m2/s) (Div Pt)
   128 |VISCA4D |115 |       |SM      MR|m^4/s           |Biharmonic Viscosity Coefficient (m4/s) (Div Pt)
   129 |VISCAHW |115 |       |WM      LR|m^2/s           |Harmonic Viscosity Coefficient (m2/s) (W Pt)
   130 |VISCA4W |115 |       |WM      LR|m^4/s           |Biharmonic Viscosity Coefficient (m4/s) (W Pt)
   131 |VAHZMAX |115 |       |SZ      MR|m^2/s           |CFL-MAX Harm Visc Coefficient (m2/s) (Zeta Pt)
   132 |VA4ZMAX |115 |       |SZ      MR|m^4/s           |CFL-MAX Biharm Visc Coefficient (m4/s) (Zeta Pt)
   133 |VAHDMAX |115 |       |SM      MR|m^2/s           |CFL-MAX Harm Visc Coefficient (m2/s) (Div Pt)
   134 |VA4DMAX |115 |       |SM      MR|m^4/s           |CFL-MAX Biharm Visc Coefficient (m4/s) (Div Pt)
   135 |VAHZMIN |115 |       |SZ      MR|m^2/s           |RE-MIN Harm Visc Coefficient (m2/s) (Zeta Pt)
   136 |VA4ZMIN |115 |       |SZ      MR|m^4/s           |RE-MIN Biharm Visc Coefficient (m4/s) (Zeta Pt)
   137 |VAHDMIN |115 |       |SM      MR|m^2/s           |RE-MIN Harm Visc Coefficient (m2/s) (Div Pt)
   138 |VA4DMIN |115 |       |SM      MR|m^4/s           |RE-MIN Biharm Visc Coefficient (m4/s) (Div Pt)
   139 |VAHZLTH |115 |       |SZ      MR|m^2/s           |Leith Harm Visc Coefficient (m2/s) (Zeta Pt)
   140 |VA4ZLTH |115 |       |SZ      MR|m^4/s           |Leith Biharm Visc Coefficient (m4/s) (Zeta Pt)
   141 |VAHDLTH |115 |       |SM      MR|m^2/s           |Leith Harm Visc Coefficient (m2/s) (Div Pt)
   142 |VA4DLTH |115 |       |SM      MR|m^4/s           |Leith Biharm Visc Coefficient (m4/s) (Div Pt)
   143 |VAHZLTHD|115 |       |SZ      MR|m^2/s           |LeithD Harm Visc Coefficient (m2/s) (Zeta Pt)
   144 |VA4ZLTHD|115 |       |SZ      MR|m^4/s           |LeithD Biharm Visc Coefficient (m4/s) (Zeta Pt)
   145 |VAHDLTHD|115 |       |SM      MR|m^2/s           |LeithD Harm Visc Coefficient (m2/s) (Div Pt)
   146 |VA4DLTHD|115 |       |SM      MR|m^4/s           |LeithD Biharm Visc Coefficient (m4/s) (Div Pt)
   147 |VAHZSMAG|115 |       |SZ      MR|m^2/s           |Smagorinsky Harm Visc Coefficient (m2/s) (Zeta Pt)
   148 |VA4ZSMAG|115 |       |SZ      MR|m^4/s           |Smagorinsky Biharm Visc Coeff. (m4/s) (Zeta Pt)
   149 |VAHDSMAG|115 |       |SM      MR|m^2/s           |Smagorinsky Harm Visc Coefficient (m2/s) (Div Pt)
   150 |VA4DSMAG|115 |       |SM      MR|m^4/s           |Smagorinsky Biharm Visc Coeff. (m4/s) (Div Pt)
   151 |momKE   |115 |       |SMR     MR|m^2/s^2         |Kinetic Energy (in momentum Eq.)
   152 |momHDiv |115 |       |SMR     MR|s^-1            |Horizontal Divergence (in momentum Eq.)
   153 |momVort3|115 |       |SZR     MR|s^-1            |3rd component (vertical) of Vorticity
   154 |Strain  |115 |       |SZR     MR|s^-1            |Horizontal Strain of Horizontal Velocities
   155 |Tension |115 |       |SMR     MR|s^-1            |Horizontal Tension of Horizontal Velocities
   156 |UBotDrag|115 |   157 |UUR     MR|m/s^2           |U momentum tendency from Bottom Drag
   157 |VBotDrag|115 |   156 |VVR     MR|m/s^2           |V momentum tendency from Bottom Drag
   158 |USidDrag|115 |   159 |UUR     MR|m/s^2           |U momentum tendency from Side Drag
   159 |VSidDrag|115 |   158 |VVR     MR|m/s^2           |V momentum tendency from Side Drag
   160 |Um_Diss |115 |   161 |UUR     MR|m/s^2           |U momentum tendency from Dissipation
   161 |Vm_Diss |115 |   160 |VVR     MR|m/s^2           |V momentum tendency from Dissipation
   162 |Um_Advec|115 |   163 |UUR     MR|m/s^2           |U momentum tendency from Advection terms
   163 |Vm_Advec|115 |   162 |VVR     MR|m/s^2           |V momentum tendency from Advection terms
   164 |Um_Cori |115 |   165 |UUR     MR|m/s^2           |U momentum tendency from Coriolis term
   165 |Vm_Cori |115 |   164 |VVR     MR|m/s^2           |V momentum tendency from Coriolis term
   166 |Um_dPHdx|115 |   167 |UUR     MR|m/s^2           |U momentum tendency from Hydrostatic Pressure grad
   167 |Vm_dPHdy|115 |   166 |VVR     MR|m/s^2           |V momentum tendency from Hydrostatic Pressure grad
   168 |Um_Ext  |115 |   169 |UUR     MR|m/s^2           |U momentum tendency from external forcing
   169 |Vm_Ext  |115 |   168 |VVR     MR|m/s^2           |V momentum tendency from external forcing
   170 |Um_AdvZ3|115 |   171 |UUR     MR|m/s^2           |U momentum tendency from Vorticity Advection
   171 |Vm_AdvZ3|115 |   170 |VVR     MR|m/s^2           |V momentum tendency from Vorticity Advection
   172 |Um_AdvRe|115 |   173 |UUR     MR|m/s^2           |U momentum tendency from vertical Advection (Explicit part)
   173 |Vm_AdvRe|115 |   172 |VVR     MR|m/s^2           |V momentum tendency from vertical Advection (Explicit part)
   174 |ADVx_Um |115 |   175 |UM      MR|m^4/s^2         |Zonal      Advective Flux of U momentum
   175 |ADVy_Um |115 |   174 |VZ      MR|m^4/s^2         |Meridional Advective Flux of U momentum
   176 |ADVrE_Um|115 |       |WU      LR|m^4/s^2         |Vertical   Advective Flux of U momentum (Explicit part)
   177 |ADVx_Vm |115 |   178 |UZ      MR|m^4/s^2         |Zonal      Advective Flux of V momentum
   178 |ADVy_Vm |115 |   177 |VM      MR|m^4/s^2         |Meridional Advective Flux of V momentum
   179 |ADVrE_Vm|115 |       |WV      LR|m^4/s^2         |Vertical   Advective Flux of V momentum (Explicit part)
   180 |VISCx_Um|115 |   181 |UM      MR|m^4/s^2         |Zonal      Viscous Flux of U momentum
   181 |VISCy_Um|115 |   180 |VZ      MR|m^4/s^2         |Meridional Viscous Flux of U momentum
   182 |VISrE_Um|115 |       |WU      LR|m^4/s^2         |Vertical   Viscous Flux of U momentum (Explicit part)
   183 |VISrI_Um|115 |       |WU      LR|m^4/s^2         |Vertical   Viscous Flux of U momentum (Implicit part)
   184 |VISCx_Vm|115 |   185 |UZ      MR|m^4/s^2         |Zonal      Viscous Flux of V momentum
   185 |VISCy_Vm|115 |   184 |VM      MR|m^4/s^2         |Meridional Viscous Flux of V momentum
   186 |VISrE_Vm|115 |       |WV      LR|m^4/s^2         |Vertical   Viscous Flux of V momentum (Explicit part)
   187 |VISrI_Vm|115 |       |WV      LR|m^4/s^2         |Vertical   Viscous Flux of V momentum (Implicit part)
   188 |EXFhs   |  1 |       |SM      U1|W/m^2           |Sensible heat flux into ocean, >0 increases theta
   189 |EXFhl   |  1 |       |SM      U1|W/m^2           |Latent heat flux into ocean, >0 increases theta
   190 |EXFlwnet|  1 |       |SM      U1|W/m^2           |Net upward longwave radiation, >0 decreases theta
   191 |EXFswnet|  1 |       |SM      U1|W/m^2           |Net upward shortwave radiation, >0 decreases theta
   192 |EXFlwdn |  1 |       |SM      U1|W/m^2           |Downward longwave radiation, >0 increases theta
   193 |EXFswdn |  1 |       |SM      U1|W/m^2           |Downward shortwave radiation, >0 increases theta
   194 |EXFqnet |  1 |       |SM      U1|W/m^2           |Net upward heat flux (turb+rad), >0 decreases theta
   195 |EXFtaux |  1 |       |UM      U1|N/m^2           |zonal surface wind stress, >0 increases uVel
   196 |EXFtauy |  1 |       |VM      U1|N/m^2           |meridional surface wind stress, >0 increases vVel
   197 |EXFuwind|  1 |       |UM      U1|m/s             |zonal 10-m wind speed, >0 eastward
   198 |EXFvwind|  1 |       |VM      U1|m/s             |meridional 10-m wind speed, >0 northward
   199 |EXFwspee|  1 |       |SM      U1|m/s             |10-m wind speed modulus ( >= 0 )
------------------------------------------------------------------------------------
  Num  |<-Name->|Levs|  mate |<- code ->|<--  Units   -->|<- Tile (max=80c)         
------------------------------------------------------------------------------------
   200 |EXFatemp|  1 |       |SM      U1|degK            |surface (2-m) air temperature
   201 |EXFaqh  |  1 |       |SM      U1|kg/kg           |surface (2-m) specific humidity
   202 |EXFevap |  1 |       |SM      U1|m/s             |evaporation, > 0 increases salinity
   203 |EXFpreci|  1 |       |SM      U1|m/s             |precipitation, > 0 decreases salinity
   204 |EXFsnow |  1 |       |SM      U1|m/s             |snow precipitation, > 0 decreases salinity
   205 |EXFempmr|  1 |       |SM      U1|m/s             |net upward freshwater flux, > 0 increases salinity
   206 |EXFpress|  1 |       |SM      U1|N/m^2           |atmospheric pressure field
   207 |EXFroff |  1 |       |SM      U1|m/s             |river runoff, > 0 decreases salinity
   208 |EXFroft |  1 |       |SM      U1|deg C           |river runoff temperature
   209 |EXFsalfx|  1 |       |SM      U1|psu.kg/m^2/s    |upward salt flux, > 0 decreases salinity
   210 |KPPviscA|115 |       |SM P    LR|m^2/s           |KPP vertical eddy viscosity coefficient
   211 |KPPdiffS|115 |       |SM P    LR|m^2/s           |Vertical diffusion coefficient for salt & tracers
   212 |KPPdiffT|115 |       |SM P    LR|m^2/s           |Vertical diffusion coefficient for heat
   213 |KPPghatK|115 |       |SM P    LR|0-1             |ratio of KPP non-local (salt) flux relative to surface-flux
   214 |KPPhbl  |  1 |       |SM P     1|m               |KPP boundary layer depth, bulk Ri criterion
   215 |KPPfrac |  1 |       |SM P     1|                |Short-wave flux fraction penetrating mixing layer
   216 |KPPdbsfc|115 |       |SM P    UR|m/s^2           |Buoyancy difference with respect to surface
   217 |KPPbfsfc|115 |       |SM P    UR|m^2/s^3         |Bo+radiation absorbed to d=hbf*hbl + plume
   218 |KPPRi   |115 |       |SM P    UR|non-dimensional |Bulk Richardson number
   219 |KPPbo   |  1 |       |SM P     1|m^2/s^3         |Surface turbulent buoyancy forcing
   220 |KPPbosol|  1 |       |SM P     1|m^2/s^3         |surface radiative buoyancy forcing
   221 |KPPdbloc|115 |       |SM P    UR|m/s^2           |Local delta buoyancy across interfaces
   222 |KPPnuddt|115 |       |SM P    UR|m^2/s           |Vertical double diffusion coefficient for heat
   223 |KPPnudds|115 |       |SM P    UR|m^2/s           |Vertical double diffusion coefficient for salt
   224 |KPPg_TH |115 |       |WM      LR|degC.m^3/s      |KPP non-local Flux of Pot.Temperature
   225 |KPPg_SLT|115 |       |WM      LR|psu.m^3/s       |KPP non-local Flux of Salinity
   226 |GM_VisbK|  1 |       |SM P    M1|m^2/s           |Mixing coefficient from Visbeck etal parameterization
   227 |GM_hTrsL|  1 |       |SM P    M1|m               |Base depth (>0) of the Transition Layer
   228 |GM_baseS|  1 |       |SM P    M1|1               |Slope at the base of the Transition Layer
   229 |GM_rLamb|  1 |       |SM P    M1|1/m             |Slope vertical gradient at Trans. Layer Base (=recip.Lambda)
   230 |SubMesLf|  1 |       |SM P    M1|m               |Sub-Meso horiz. Length Scale (Lf)
   231 |SubMpsiX|  1 |   232 |UU      M1|m^2/s           |Sub-Meso transp.stream-funct. magnitude (Psi0): U component
   232 |SubMpsiY|  1 |   231 |VV      M1|m^2/s           |Sub-Meso transp.stream-funct. magnitude (Psi0): V component
   233 |GM_Kux  |115 |   234 |UU P    MR|m^2/s           |K_11 element (U.point, X.dir) of GM-Redi tensor
   234 |GM_Kvy  |115 |   233 |VV P    MR|m^2/s           |K_22 element (V.point, Y.dir) of GM-Redi tensor
   235 |GM_Kuz  |115 |   236 |UU      MR|m^2/s           |K_13 element (U.point, Z.dir) of GM-Redi tensor
   236 |GM_Kvz  |115 |   235 |VV      MR|m^2/s           |K_23 element (V.point, Z.dir) of GM-Redi tensor
   237 |GM_Kwx  |115 |   238 |UM      LR|m^2/s           |K_31 element (W.point, X.dir) of GM-Redi tensor
   238 |GM_Kwy  |115 |   237 |VM      LR|m^2/s           |K_32 element (W.point, Y.dir) of GM-Redi tensor
   239 |GM_Kwz  |115 |       |WM P    LR|m^2/s           |K_33 element (W.point, Z.dir) of GM-Redi tensor
   240 |GM_PsiX |115 |   241 |UU      LR|m^2/s           |GM Bolus transport stream-function : U component
   241 |GM_PsiY |115 |   240 |VV      LR|m^2/s           |GM Bolus transport stream-function : V component
   242 |GM_KuzTz|115 |   243 |UU      MR|degC.m^3/s      |Redi Off-diagonal Temperature flux: X component
   243 |GM_KvzTz|115 |   242 |VV      MR|degC.m^3/s      |Redi Off-diagonal Temperature flux: Y component
   244 |GM_KwzTz|115 |       |WM      LR|degC.m^3/s      |Redi main-diagonal vertical Temperature flux
   245 |GM_ubT  |115 |   246 |UUr     MR|degC.m^3/s      |Zonal Mass-Weight Bolus Transp of Pot Temp
   246 |GM_vbT  |115 |   245 |VVr     MR|degC.m^3/s      |Meridional Mass-Weight Bolus Transp of Pot Temp
   247 |TRAC01  |115 |       |SMR     MR|y               |age_trc concentration
   248 |UTRAC01 |115 |   249 |UUr     MR|y.m/s           |Zonal Mass-Weighted Transp of age_trc
   249 |VTRAC01 |115 |   248 |VVr     MR|y.m/s           |Merid Mass-Weighted Transp of age_trc
   250 |WTRAC01 |115 |       |WM      MR|y.m/s           |Vert  Mass-Weighted Transp of age_trc
   251 |ForcTr01|115 |       |SMR     MR|y/s             |age_trc forcing tendency
   252 |AB_gTr01|115 |       |SMR     MR|y/s             |age_trc tendency from Adams-Bashforth
   253 |ADVrTr01|115 |       |WM      LR|y.m^3/s         |Vertical   Advective Flux of age_trc
   254 |ADVxTr01|115 |   255 |UU      MR|y.m^3/s         |Zonal      Advective Flux of age_trc
   255 |ADVyTr01|115 |   254 |VV      MR|y.m^3/s         |Meridional Advective Flux of age_trc
   256 |DFrETr01|115 |       |WM      LR|y.m^3/s         |Vertical Diffusive Flux of age_trc (Explicit part)
   257 |DFxETr01|115 |   258 |UU      MR|y.m^3/s         |Zonal      Diffusive Flux of age_trc
   258 |DFyETr01|115 |   257 |VV      MR|y.m^3/s         |Meridional Diffusive Flux of age_trc
   259 |DFrITr01|115 |       |WM      LR|y.m^3/s         |Vertical Diffusive Flux of age_trc (Implicit part)
   260 |KPPgTr01|115 |       |WM      LR|y.m^3/s         |KPP non-local Flux of age_trc
   261 |Add2EmP |  1 |       |SM      U1|kg/m^2/s        |additional EmP from salt relaxation
   262 |SIarea  |  1 |       |SM      M1|m^2/m^2         |SEAICE fractional ice-covered area [0 to 1]
   263 |SIareaPR|  1 |       |SM      M1|m^2/m^2         |SIarea preceeding ridging process
